test_condition,planner,task_difficulty,path_cost(m),time_cost(s),task_progress
1_obstacle_0%,probability_based,2.5,143.10109491546314,14.874999999999476,1
1_obstacle_0%,probability_based,2.5,136.87893891106017,14.020833333332858,1
1_obstacle_0%,probability_based,2.5,143.28737371264936,15.141666666666127,1
1_obstacle_0%,probability_based,2.5,159.98334406663815,28.249999999998717,1
1_obstacle_0%,probability_based,2.5,142.0174972317851,15.941666666666082,1
1_obstacle_0%,probability_based,2.5,144.02879217562204,15.6166666666661,1
1_obstacle_0%,probability_based,2.5,143.40303862056794,16.358333333332727,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,142.02068931759356,16.8333333333327,1
1_obstacle_0%,probability_based,2.5,143.03280903508488,15.445833333332777,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,142.68208187989916,15.49999999999944,1
1_obstacle_0%,probability_based,2.5,152.85020104993265,20.99999999999913,1
1_obstacle_0%,probability_based,2.5,142.67630708484222,15.716666666666095,1
1_obstacle_0%,probability_based,2.5,143.93018028987484,15.312499999999451,1
1_obstacle_0%,probability_based,2.5,141.62005279391718,15.854166666666087,1
1_obstacle_0%,probability_based,2.5,143.4447999579457,16.324999999999395,1
1_obstacle_0%,probability_based,2.5,144.4460603947076,16.520833333332718,1
1_obstacle_0%,probability_based,2.5,146.00868280322408,16.637499999999378,1
1_obstacle_0%,probability_based,2.5,143.85237052036933,16.033333333332745,1
1_obstacle_0%,probability_based,2.5,140.82612321018792,15.008333333332802,1
1_obstacle_0%,probability_based,2.5,159.54418113818184,29.887499999998624,1
1_obstacle_0%,probability_based,2.5,144.24882472132722,15.891666666666085,1
1_obstacle_0%,probability_based,2.5,143.1510947382869,16.733333333332705,1
1_obstacle_0%,probability_based,2.5,143.87894029053635,16.129166666666073,1
1_obstacle_0%,probability_based,2.5,144.15860366516603,16.32083333333273,1
1_obstacle_0%,probability_based,2.5,143.52562804572497,15.99166666666608,1
1_obstacle_0%,probability_based,2.5,141.70939787127338,15.637499999999433,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,154.81091535891207,24.999999999998902,1
1_obstacle_0%,probability_based,2.5,143.2270406724546,15.899999999999418,1
1_obstacle_0%,probability_based,2.5,137.07681966665834,14.058333333332856,1
1_obstacle_0%,probability_based,2.5,137.47335480044063,15.479166666666108,1
1_obstacle_0%,probability_based,2.5,142.43312299061125,16.420833333332723,1
1_obstacle_0%,probability_based,2.5,141.820632897246,17.19583333333268,1
1_obstacle_0%,probability_based,2.5,150.99843660482583,21.84166666666575,1
1_obstacle_0%,probability_based,2.5,142.84714675559022,16.491666666666053,1
1_obstacle_0%,probability_based,2.5,144.02585717054984,15.712499999999428,1
1_obstacle_0%,probability_based,2.5,142.99598698037119,15.670833333332764,1
1_obstacle_0%,probability_based,2.5,143.37006801614365,17.308333333332673,1
1_obstacle_0%,probability_based,2.5,144.26496605903577,16.687499999999375,1
1_obstacle_0%,probability_based,2.5,143.81997358684723,15.79166666666609,1
1_obstacle_0%,probability_based,2.5,68.90373108105156,8.191666666666523,0
1_obstacle_0%,probability_based,2.5,142.7124983396012,15.758333333332759,1
1_obstacle_0%,probability_based,2.5,149.06811019102224,18.93333333333258,1
1_obstacle_0%,probability_based,2.5,142.05367420428098,16.829166666666033,1
1_obstacle_0%,probability_based,2.5,143.64805560523328,17.491666666665996,1
1_obstacle_0%,probability_based,2.5,35.538231602872905,5.454166666666677,0
1_obstacle_0%,probability_based,2.5,136.99363500546343,13.8541666666662,1
1_obstacle_0%,probability_based,2.5,144.34201886859566,16.370833333332726,1
1_obstacle_0%,probability_based,2.5,142.50397491759765,16.274999999999398,1
1_obstacle_0%,probability_based,2.5,149.25328449319346,19.30833333333256,1
1_obstacle_0%,probability_based,2.5,149.5271373671084,18.624999999999265,1
1_obstacle_0%,probability_based,2.5,142.26565631433797,16.558333333332715,1
1_obstacle_0%,probability_based,2.5,39.67841212361004,4.916666666666708,0
1_obstacle_0%,probability_based,2.5,142.86371418081535,16.520833333332718,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,153.86746000177183,28.637499999998695,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,142.66501219508746,16.537499999999383,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,143.57812012346406,15.645833333332765,1
1_obstacle_0%,probability_based,2.5,142.3584457974845,15.32499999999945,1
1_obstacle_0%,probability_based,2.5,137.0790810249865,14.354166666666172,1
1_obstacle_0%,probability_based,2.5,154.43745322120836,22.662499999999035,1
1_obstacle_0%,probability_based,2.5,143.64197612189636,17.129166666666016,1
1_obstacle_0%,probability_based,2.5,143.9236247311004,16.51666666666605,1
1_obstacle_0%,probability_based,2.5,137.28127740442562,14.92916666666614,1
1_obstacle_0%,probability_based,2.5,142.98156189461486,16.404166666666057,1
1_obstacle_0%,probability_based,2.5,143.9595684266319,15.891666666666085,1
1_obstacle_0%,probability_based,2.5,143.384683532075,15.79166666666609,1
1_obstacle_0%,probability_based,2.5,136.91079073820632,14.787499999999481,1
1_obstacle_0%,probability_based,2.5,167.90089753870004,32.37916666666547,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,141.7323518484926,16.39999999999939,1
1_obstacle_0%,probability_based,2.5,145.94319624641832,16.708333333332707,1
1_obstacle_0%,probability_based,2.5,143.91318201637878,17.25416666666601,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,143.47999145428594,15.583333333332769,1
1_obstacle_0%,probability_based,2.5,0.0,0.008333333333333333,0
1_obstacle_0%,probability_based,2.5,144.76583788570125,16.112499999999407,1
1_obstacle_0%,probability_based,2.5,136.48566489402478,14.283333333332843,1
1_obstacle_0%,probability_based,2.5,136.69175795091988,14.416666666666169,1
