test_condition,planner,task_difficulty,path_cost(m),time_cost(s),task_progress
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.41989861585844,24.75833333333225,1
1_obstacle_0%,I-MP_based,2.5,135.4126527476996,15.812499999999423,1
1_obstacle_0%,I-MP_based,2.5,135.42439276798845,28.66666666666536,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,151.0695456125485,15.833333333332755,1
1_obstacle_0%,I-MP_based,2.5,151.0695456125485,15.833333333332755,1
1_obstacle_0%,I-MP_based,2.5,135.53065756639353,10.991666666666363,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,137.35562848587767,32.07499999999856,0
1_obstacle_0%,I-MP_based,2.5,135.41164346777214,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.57418752402162,12.783333333332928,1
1_obstacle_0%,I-MP_based,2.5,135.42439276798845,28.66666666666536,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.27255088757403,11.399999999999674,1
1_obstacle_0%,I-MP_based,2.5,135.41989861585844,24.75833333333225,1
1_obstacle_0%,I-MP_based,2.5,135.4126527476996,15.812499999999423,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.42439276798845,28.66666666666536,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,151.0695456125485,15.833333333332755,1
1_obstacle_0%,I-MP_based,2.5,135.4126527476996,15.812499999999423,1
1_obstacle_0%,I-MP_based,2.5,135.41989861585844,24.75833333333225,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
1_obstacle_0%,I-MP_based,2.5,135.3520245407336,16.258333333332732,1
1_obstacle_0%,I-MP_based,2.5,135.4151569045009,15.583333333332769,1
