test_condition,planner,task_difficulty,path_cost(m),time_cost(s),task_progress
1_obstacle_0%,imagination_based,1,0.615992359817028,10.16666666666673,1
1_obstacle_0%,imagination_based,1,0.615992359817028,10.16666666666673,1
1_obstacle_0%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_0%,imagination_based,1,0.4304519072175026,19.066666666666226,1
1_obstacle_0%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_0%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_0%,imagination_based,1,0.6225418969988823,10.091666666666734,1
1_obstacle_0%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_0%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_0%,imagination_based,1,0.423839308321476,14.09999999999984,1
1_obstacle_0%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_50%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_50%,imagination_based,1,0.4303612485527992,14.56666666666648,1
1_obstacle_50%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_50%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_50%,imagination_based,1,0.3602490946650505,16.999999999999677,0
1_obstacle_50%,imagination_based,1,0.42761868238449097,37.74166666666517,0
1_obstacle_50%,imagination_based,1,0.4238475188612938,15.583333333333089,1
1_obstacle_50%,imagination_based,1,0.42716211825609207,17.06666666666634,1
1_obstacle_50%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_50%,imagination_based,1,0.42439843714237213,16.641666666666364,1
1_obstacle_100%,imagination_based,1,0.41647858917713165,33.26666666666542,0
1_obstacle_100%,imagination_based,1,0.42423115670681,15.566666666666423,1
1_obstacle_100%,imagination_based,1,0.35545778274536133,13.708333333333195,0
1_obstacle_100%,imagination_based,1,0.4239116236567497,15.566666666666423,1
1_obstacle_100%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_100%,imagination_based,1,0.19328105449676514,11.966666666666628,0
1_obstacle_100%,imagination_based,1,0.42377769947052,14.558333333333147,1
1_obstacle_100%,imagination_based,1,0.4238598421216011,15.583333333333089,1
1_obstacle_100%,imagination_based,1,0.423839308321476,14.09999999999984,1
1_obstacle_100%,imagination_based,1,0.4238598421216011,15.583333333333089,1
3_obstacles_0%,imagination_based,1,0.4242793917655945,16.383333333333045,1
3_obstacles_0%,imagination_based,1,0.4235534891486168,13.041666666666567,1
3_obstacles_0%,imagination_based,1,0.4238598421216011,15.583333333333089,1
3_obstacles_0%,imagination_based,1,0.4332122951745987,36.23333333333192,1
3_obstacles_0%,imagination_based,1,0.5285205096006393,11.808333333333303,1
3_obstacles_0%,imagination_based,1,0.4306352809071541,16.899999999999682,1
3_obstacles_0%,imagination_based,1,0.43281443417072296,28.16666666666571,1
3_obstacles_0%,imagination_based,1,0.5341409519314766,11.816666666666636,1
3_obstacles_0%,imagination_based,1,0.4288824275135994,17.466666666666317,1
3_obstacles_0%,imagination_based,1,0.4573509618639946,15.73333333333308,1
3_obstacles_50%,imagination_based,1,0.4238598421216011,15.583333333333089,1
3_obstacles_50%,imagination_based,1,0.42425448447465897,13.058333333333232,1
3_obstacles_50%,imagination_based,1,0.20599445700645447,11.716666666666642,0
3_obstacles_50%,imagination_based,1,0.43118176609277725,16.30833333333305,1
3_obstacles_50%,imagination_based,1,0.17428243160247803,6.200000000000098,0
3_obstacles_50%,imagination_based,1,0.42380521446466446,15.574999999999756,1
3_obstacles_50%,imagination_based,1,1.030190795660019,103.31666666669496,0
3_obstacles_50%,imagination_based,1,0.4237998053431511,15.574999999999756,1
3_obstacles_50%,imagination_based,1,0.5537122413516045,10.250000000000059,1
3_obstacles_50%,imagination_based,1,0.4238598421216011,15.583333333333089,1
3_obstacles_100%,imagination_based,1,0.19579485058784485,12.016666666666625,0
3_obstacles_100%,imagination_based,1,1.7433445751667023,195.33333333332,0
3_obstacles_100%,imagination_based,1,0.33148881793022156,12.999999999999902,0
3_obstacles_100%,imagination_based,1,0.13631370663642883,4.350000000000006,0
3_obstacles_100%,imagination_based,1,0.32717759907245636,11.458333333333323,0
3_obstacles_100%,imagination_based,1,0.3683639168739319,18.858333333332904,0
3_obstacles_100%,imagination_based,1,0.4248456582427025,13.391666666666547,1
3_obstacles_100%,imagination_based,1,0.4238501787185669,14.574999999999813,1
3_obstacles_100%,imagination_based,1,0.42488672584295273,13.441666666666544,1
3_obstacles_100%,imagination_based,1,0.4238501787185669,14.574999999999813,1
6_obstacles_0%,imagination_based,1,0.46437885612249374,14.266666666666497,1
6_obstacles_0%,imagination_based,1,0.4257485866546631,16.566666666666368,1
6_obstacles_0%,imagination_based,1,0.4872140437364578,12.84999999999991,1
6_obstacles_0%,imagination_based,1,0.45841147005558014,14.241666666666498,1
6_obstacles_0%,imagination_based,1,0.43185288459062576,16.641666666666364,1
6_obstacles_0%,imagination_based,1,0.43095795065164566,8.333333333333501,1
6_obstacles_0%,imagination_based,1,0.4302702993154526,17.94166666666629,1
6_obstacles_0%,imagination_based,1,0.42743805795907974,9.566666666666764,1
6_obstacles_0%,imagination_based,1,0.42933986335992813,9.666666666666758,1
6_obstacles_0%,imagination_based,1,0.4293654188513756,16.16666666666639,1
6_obstacles_50%,imagination_based,1,0.17383068799972534,6.075000000000092,0
6_obstacles_50%,imagination_based,1,0.42421456426382065,7.775000000000176,1
6_obstacles_50%,imagination_based,1,0.17459824681282043,6.075000000000092,0
