test_condition,planner,task_difficulty,path_cost(m),time_cost(s),task_progress
1_obstacle_0%,model_based,2,0.0,0.6250000000000002,0
1_obstacle_0%,model_based,2,0.7105670422315598,31.308333333332197,0
1_obstacle_0%,model_based,2,0.0,0.016666666666666666,0
1_obstacle_0%,model_based,2,0.8193327039480209,37.49166666666518,1
1_obstacle_0%,model_based,2,0.7105670422315598,31.308333333332197,0
1_obstacle_0%,model_based,2,0.0,0.6250000000000002,0
1_obstacle_0%,model_based,2,0.7105670422315598,31.308333333332197,0
1_obstacle_0%,model_based,2,0.7105670422315598,31.308333333332197,0
1_obstacle_0%,model_based,2,0.46959346532821655,25.099999999999216,0
1_obstacle_0%,model_based,2,0.7105670422315598,31.308333333332197,0
1_obstacle_50%,model_based,2,0.8194246143102646,37.49166666666518,1
1_obstacle_50%,model_based,2,0.0,0.016666666666666666,0
1_obstacle_50%,model_based,2,0.7428861707448959,33.69999999999873,0
1_obstacle_50%,model_based,2,0.7105617970228195,31.308333333332197,0
1_obstacle_50%,model_based,2,0.09160783886909485,3.658333333333323,0
1_obstacle_50%,model_based,2,0.17863506078720093,6.816666666666795,0
1_obstacle_50%,model_based,2,0.7428861707448959,33.69999999999873,0
1_obstacle_50%,model_based,2,0.1786360740661621,6.816666666666795,0
1_obstacle_50%,model_based,2,0.7105670422315598,31.308333333332197,0
1_obstacle_50%,model_based,2,0.29047758877277374,11.833333333333302,0
1_obstacle_100%,model_based,2,0.29047758877277374,11.833333333333302,0
1_obstacle_100%,model_based,2,0.8193327039480209,37.49166666666518,1
1_obstacle_100%,model_based,2,0.29047758877277374,11.833333333333302,0
1_obstacle_100%,model_based,2,0.8193327039480209,37.49166666666518,1
1_obstacle_100%,model_based,2,0.4380428344011307,19.958333333332842,0
1_obstacle_100%,model_based,2,0.1850091516971588,6.800000000000128,0
1_obstacle_100%,model_based,2,0.556198239326477,30.899999999998887,0
1_obstacle_100%,model_based,2,0.7859926670789719,35.55833333333196,0
1_obstacle_100%,model_based,2,0.46960994601249695,25.099999999999216,0
1_obstacle_100%,model_based,2,0.7105617970228195,31.308333333332197,0
3_obstacles_0%,model_based,2,0.21331343054771423,7.875000000000181,0
3_obstacles_0%,model_based,2,0.17863526940345764,6.85000000000013,0
3_obstacles_0%,model_based,2,0.6153938919305801,28.716666666665677,0
3_obstacles_0%,model_based,2,0.0,0.016666666666666666,0
3_obstacles_0%,model_based,2,0.09160783886909485,3.658333333333323,0
3_obstacles_0%,model_based,2,0.0,0.016666666666666666,0
3_obstacles_0%,model_based,2,0.0,0.016666666666666666,0
3_obstacles_0%,model_based,2,0.09160783886909485,3.658333333333323,0
